dedup_key,kept_database,kept_source_id,duplicate_database,duplicate_source_id,title
pmid:40034576,PubMed/MEDLINE,40034576,Europe PMC,40034576,"Ensartinib for advanced or metastatic non-small-cell lung cancer with MET exon 14 skipping mutations (EMBRACE): a multi-center, single-arm, phase 2 trial."
pmid:39617650,PubMed/MEDLINE,39617650,Europe PMC,39617650,Brief Report: Methylation-Based ctDNA Serial Monitoring Correlates With Immunotherapy Response in NSCLC.
pmid:38763304,PubMed/MEDLINE,38763304,Europe PMC,38763304,Predicting therapeutic response to neoadjuvant immunotherapy based on an integration model in resectable stage IIIA (N2) non-small cell lung cancer.
pmid:38971369,PubMed/MEDLINE,38971369,Europe PMC,38971369,Analysis of Circulating Tumor DNA Predicts Outcomes of Short-Course Consolidation Immunotherapy in Unresectable Stage III NSCLC.
pmid:39003185,PubMed/MEDLINE,39003185,Europe PMC,39003185,MDT-BRIDGE: Neoadjuvant Durvalumab Plus Chemotherapy Followed by Either Surgery and Adjuvant Durvalumab or Chemoradiotherapy and Consolidation Durvalumab in Resectable or Borderline-resectable Stage IIB-IIIB NSCLC.
pmid:38839544,PubMed/MEDLINE,38839544,Europe PMC,38839544,Implementing circulating tumor DNA as a prognostic biomarker in resectable non-small cell lung cancer.
pmid:39282582,PubMed/MEDLINE,39282582,Europe PMC,39282582,Dynamic bTMB combined with residual ctDNA improves survival prediction in locally advanced NSCLC patients with chemoradiotherapy and consolidation immunotherapy.
pmid:38976829,PubMed/MEDLINE,38976829,Europe PMC,38976829,Improving Prediction of Survival and Progression in Metastatic Non-Small Cell Lung Cancer After Immunotherapy Through Machine Learning of Circulating Tumor DNA.
pmid:38854945,PubMed/MEDLINE,38854945,Europe PMC,38854945,Potential predictors of the pathologic response after neoadjuvant chemoimmunotherapy in resectable non-small cell lung cancer: a narrative review.
pmid:38711893,PubMed/MEDLINE,38711893,Europe PMC,38711893,Partial response to crizotinib + regorafenib + PD-1 inhibitor in a metastatic BRAF V600EMT colon cancer patient with acquired C-MET amplification and TPM4-ALK fusion: a case report.
pmid:38493133,PubMed/MEDLINE,38493133,Europe PMC,38493133,Blood-based biomarkers in patients with non-small cell lung cancer treated with immune checkpoint blockade.
pmid:38374204,PubMed/MEDLINE,38374204,Europe PMC,38374204,Sintilimab with two cycles of chemotherapy for the treatment of advanced squamous non-small cell lung cancer: a phase 2 clinical trial.
pmid:37939140,PubMed/MEDLINE,37939140,Europe PMC,37939140,Elucidating the Heterogeneity of Immunotherapy Response and Immune-Related Toxicities by Longitudinal ctDNA and Immune Cell Compartment Tracking in Lung Cancer.
pmid:37702716,PubMed/MEDLINE,37702716,Europe PMC,37702716,Circulating Tumor DNA Monitoring on Chemo-immunotherapy for Risk Stratification in Advanced Non-Small Cell Lung Cancer.
pmid:37724484,PubMed/MEDLINE,37724484,Europe PMC,37724484,Prognostic and predictive impact of molecular tumor burden index in non-small cell lung cancer patients.
pmid:37814061,PubMed/MEDLINE,37814061,Europe PMC,37814061,ctDNA response after pembrolizumab in non-small cell lung cancer: phase 2 adaptive trial results.
pmid:37720499,PubMed/MEDLINE,37720499,Europe PMC,37720499,What is the ideal endpoint in early-stage immunotherapy neoadjuvant trials in lung cancer?
pmid:37460251,PubMed/MEDLINE,37460251,Europe PMC,37460251,"Correction: Short-term dynamics of circulating tumor DNA predicting efficacy of sintilimab plus docetaxel in second-line treatment of advanced NSCLC: biomarker analysis from a single-arm, phase 2 trial."
pmid:37137997,PubMed/MEDLINE,37137997,Europe PMC,37137997,NK cell activity and methylated HOXA9 ctDNA as prognostic biomarkers in patients with non-small cell lung cancer treated with PD-1/PD-L1 inhibitors.
pmid:37323168,PubMed/MEDLINE,37323168,Europe PMC,37323168,Blood tumor mutational burden and dynamic changes in circulating tumor DNA predict response to pembrolizumab treatment in advanced non-small cell lung cancer.
pmid:36915241,PubMed/MEDLINE,36915241,Europe PMC,36915241,Utilizing Plasma Circulating Tumor DNA Sequencing for Precision Medicine in the Management of Solid Cancers.
pmid:36600554,PubMed/MEDLINE,36600554,Europe PMC,36600554,"Short-term dynamics of circulating tumor DNA predicting efficacy of sintilimab plus docetaxel in second-line treatment of advanced NSCLC: biomarker analysis from a single-arm, phase 2 trial."
pmid:35576508,PubMed/MEDLINE,35576508,Europe PMC,35576508,Overall Survival and Biomarker Analysis of Neoadjuvant Nivolumab Plus Chemotherapy in Operable Stage IIIA Non-Small-Cell Lung Cancer (NADIM phase II trial).
pmid:35716631,PubMed/MEDLINE,35716631,Europe PMC,35716631,Decoding circulating tumor DNA to identify durable benefit from immunotherapy in lung cancer.
pmid:35688557,PubMed/MEDLINE,35688557,Europe PMC,35688557,Peripheral blood immune cell dynamics reflect antitumor immune responses and predict clinical response to immunotherapy.
pmid:35280315,PubMed/MEDLINE,35280315,Europe PMC,35280315,Circulating tumor DNA predicts neoadjuvant immunotherapy efficacy and recurrence-free survival in surgical non-small cell lung cancer patients.
pmid:36427429,PubMed/MEDLINE,36427429,Europe PMC,36427429,Induction EGFR tyrosine kinase inhibitors prior to definitive chemoradiotherapy in unresectable stage III EGFR-mutated non-small cell lung cancer.
pmid:34994642,PubMed/MEDLINE,34994642,Europe PMC,34994642,Dynamic Changes of Circulating Tumor DNA Predict Clinical Outcome in Patients With Advanced Non-Small-Cell Lung Cancer Treated With Immune Checkpoint Inhibitors.
pmid:34449963,PubMed/MEDLINE,34449963,Europe PMC,34449963,Circulating tumor DNA as a biomarker for monitoring early treatment responses of patients with advanced lung adenocarcinoma receiving immune checkpoint inhibitors.
pmid:34095713,PubMed/MEDLINE,34095713,Europe PMC,34095713,Serial Monitoring of Circulating Tumor DNA by Next-Generation Gene Sequencing as a Biomarker of Response and Survival in Patients With Advanced NSCLC Receiving Pembrolizumab-Based Therapy.
pmid:33007267,PubMed/MEDLINE,33007267,Europe PMC,33007267,Noninvasive Early Identification of Therapeutic Benefit from Immune Checkpoint Inhibition.
pmid:32382482,PubMed/MEDLINE,32382482,Europe PMC,32382482,Tracking Neoantigens by Personalized Circulating Tumor DNA Sequencing during Checkpoint Blockade Immunotherapy in Non-Small Cell Lung Cancer.
pmid:32091646,PubMed/MEDLINE,32091646,Europe PMC,32091646,Managing Hyperprogressive Disease in the Era of Programmed Cell Death Protein 1/Programmed Death-Ligand 1 Blockade: A Case Discussion and Review of the Literature.
pmid:34505064,PubMed/MEDLINE,34505064,Europe PMC,34505064,Circulating Tumor DNA Dynamics Predict Benefit from Consolidation Immunotherapy in Locally Advanced Non-Small Cell Lung Cancer.
pmid:31692284,PubMed/MEDLINE,31692284,Europe PMC,31692284,Serial ultra-deep sequencing of circulating tumor DNA reveals the clonal evolution in non-small cell lung cancer patients treated with anti-PD1 immunotherapy.
pmid:31518912,PubMed/MEDLINE,31518912,Europe PMC,31518912,Targeted sequencing of plasma cell-free DNA to predict response to PD1 inhibitors in advanced non-small cell lung cancer.
pmid:30541742,PubMed/MEDLINE,30541742,Europe PMC,30541742,Dynamics of Tumor and Immune Responses during Immune Checkpoint Blockade in Non-Small Cell Lung Cancer.
pmid:29330207,PubMed/MEDLINE,29330207,Europe PMC,29330207,Early Assessment of Lung Cancer Immunotherapy Response via Circulating Tumor DNA.
